feature,importance
opcode_dec,0.08309279590268324
opcode_int3,0.0577618693812314
opcode_nop,0.05764036794822664
num_sections,0.05346138838586494
opcode_lea,0.042835480381583996
max_entropy,0.03604587791336639
file_size,0.033816928399908214
opcode_inc,0.030758530289157846
opcode_test,0.027766224079735967
opcode_mov,0.02438785046464031
port_22,0.023826722100093737
min_entropy,0.02353984272461773
string_count,0.023320838619485702
opcode_jne,0.02323851281793953
opcode_js,0.021861736302778358
opcode_ret,0.018980242976732113
opcode_cmp,0.018280838519289633
opcode_add,0.018245342881847336
num_imported_apis,0.0181516597992738
opcode_call,0.01591111632421877
opcode_movups,0.015754555320736364
opcode_push,0.01565953101665806
opcode_jmp,0.015499979462333597
opcode_pop,0.015492373850780035
opcode_movzx,0.014062241066471056
opcode_je,0.014053826150827863
num_imported_dlls,0.01379289277009662
opcode_xor,0.013234956959043307
avg_entropy,0.01250795949917317
port_80,0.011300981519101005
opcode_sub,0.010222244783068952
opcode_count,0.009747566084457713
opcode_jae,0.008106669733452799
opcode_or,0.007575690271922661
api_LoadLibraryA,0.00736793982599013
port_21,0.006778512247807485
opcode_adc,0.006658536191594321
opcode_and,0.0065025990335682345
port_53,0.005528654362429096
num_suspicious_strings,0.005448952758136071
port_110,0.00525057171537833
opcode_ja,0.0051324003347165475
port_25,0.004965678349807306
opcode_leave,0.0047967201952912215
opcode_jl,0.0043436704098002675
opcode_cmovne,0.0041827019614236365
opcode_movnti,0.004098308098962491
opcode_xorps,0.0040645385104890065
opcode_jb,0.0039991375061053346
opcode_jle,0.0038150847495844378
opcode_sar,0.003472051375094183
opcode_movsx,0.003417099137137822
api_TerminateProcess,0.0033456768108240074
opcode_jo,0.0029308782514521825
api_WriteFile,0.002876050172932608
opcode_bts,0.002768762639582049
opcode_imul,0.002384055509734972
opcode_jns,0.002317824308316785
opcode_arpl,0.0022692788045463813
opcode_outsd,0.002239811771992671
opcode_movdqu,0.0022205122667376654
port_23,0.0020634326369453
opcode_jbe,0.0018450883715142553
opcode_movq,0.001806423173961441
api_VirtualAlloc,0.0015546578638938845
opcode_stosd,0.0014770124640571425
opcode_neg,0.001385333662991467
api_VirtualFree,0.0013091647998852562
opcode_jge,0.001296879149382965
opcode_jnp,0.001233736728414755
opcode_shr,0.0012331734465730396
opcode_cmovae,0.001125470752304214
opcode_sbb,0.0011148026910111862
api_GetProcAddress,0.0010276534254436047
opcode_rep stosd,0.0009502142422444965
opcode_cmove,0.0008906003796030493
opcode_shl,0.0008626566235381429
opcode_xchg,0.0008543261632364866
opcode_setne,0.0008542284783622213
opcode_lock xadd,0.0008522301620856654
api_RegOpenKeyExW,0.0008384227101831541
opcode_ror,0.0008334687625273575
